ФИО,Пол,Год поступления,Форма обучения,Балл ЦТ: Математика,Балл ЦТ: Русский язык,Балл ЦТ: Физика,Балл ЦТ: Биология,Балл ЦТ: Химия,Балл ЦТ: История,Балл ЦТ: Информатика,Средний балл аттестата,Общий балл при поступлении,Специальность,Адрес регистрации,Телефон,Поступил
Козлов Никита Сергеевич,М,2025,очно-заочная,62.1,61.6,,,,,75.6,77.3,68.5,Медицинская биохимия,"Новосибирск, ул. Ленина, д. 25, кв. 71",+375896780826,False
Павлова Виктория Петровна,Ж,2025,очная,74.1,,62.1,57.5,,,,79.1,69.2,Экономика,"Нижний Новгород, ул. Центральная, д. 37, кв. 192",+375926456339,True
Новиков Максим Михайлович,М,2025,очная,,,66.2,72.4,68.2,,,67.6,67.2,Прикладная математика,"Воронеж, ул. Новая, д. 184, кв. 75",+375971967068,False
Кузнецов Егор Петрович,М,2025,очная,60.2,76.7,,58.3,,,,77.1,70.4,Медицинская биохимия,"Екатеринбург, ул. Пролетарская, д. 155, кв. 70",+375901333443,False
Лебедев Никита Сергеевич,М,2025,заочная,73.7,,62.1,,51.0,,,77.6,66.0,Химия,"Москва, ул. Советская, д. 112, кв. 127",+375930148116,False
Новиков Илья Петрович,М,2025,очно-заочная,65.1,51.7,64.5,,,,,81.5,69.2,Медицинская биохимия,"Санкт-Петербург, ул. Новая, д. 140, кв. 9",+375199034213,False
Смирнов Егор Михайлович,М,2025,заочная,62.9,68.3,86.1,,,,,76.5,73.8,Прикладная математика,"Самара, ул. Советская, д. 53, кв. 140",+375601571171,True
Петров Максим Михайлович,М,2025,заочная,66.8,60.5,,,,,61.2,75.1,69.0,Физика,"Пермь, ул. Строителей, д. 168, кв. 23",+375411287452,False
Баранова Мария Сергеевна,Ж,2025,заочная,,,61.1,67.5,88.8,,,74.3,72.1,Прикладная математика,"Санкт-Петербург, ул. Ленина, д. 164, кв. 128",+375491619423,True
Соловьёва Мария Михайловна,Ж,2025,заочная,57.7,63.7,,,,68.3,,80.2,69.6,Медицинская биохимия,"Воронеж, ул. Мира, д. 100, кв. 18",+375684552527,False
Соколова Мария Алексеевна,Ж,2025,очная,83.2,,41.4,42.6,,,,75.6,62.8,Химия,"Нижний Новгород, ул. Новая, д. 100, кв. 155",+375489930051,False
Егорова Александра Денисовна,Ж,2025,очная,,75.6,,53.1,,40.0,,82.0,66.7,Физика,"Новосибирск, ул. Зелёная, д. 164, кв. 186",+375172662565,False
Иванов Никита Денисович,М,2025,очная,72.0,,56.6,,,,53.9,72.8,63.0,Биология,"Воронеж, ул. Строителей, д. 166, кв. 108",+375240871006,False
Иванов Роман Михайлович,М,2025,заочная,63.5,,,56.1,,,70.7,61.5,61.5,Физика,"Санкт-Петербург, ул. Советская, д. 90, кв. 169",+375223282228,False
Козлов Александр Михайлович,М,2025,очная,,54.4,,,59.7,,64.3,75.4,63.2,Химия,"Казань, ул. Советская, д. 10, кв. 186",+375847913511,False
Соколова Александра Никитична,Ж,2025,очная,,70.6,,48.8,,,67.4,82.0,70.3,Информатика и вычислительная техника,"Воронеж, ул. Центральная, д. 31, кв. 164",+375578097830,True
Иванов Андрей Петрович,М,2025,очная,82.4,,64.8,,73.7,,,67.8,70.8,Биология,"Самара, ул. Школьная, д. 195, кв. 33",+375814478674,True
Медведева Екатерина Ивановна,Ж,2025,очная,,,,,46.3,71.7,64.8,85.7,69.6,История,"Пермь, ул. Ленина, д. 173, кв. 59",+375789121397,True
Соколов Сергей Иванович,М,2025,очная,,,56.8,,75.3,,87.5,81.1,76.8,Химия,"Москва, ул. Строителей, д. 195, кв. 72",+375290696904,True
Козлов Максим Владимирович,М,2025,очная,67.7,,,,,65.3,47.7,86.7,70.5,Экономика,"Нижний Новгород, ул. Зелёная, д. 12, кв. 22",+375652761368,True
Козлов Роман Иванович,М,2025,очная,60.0,68.0,,,,52.6,,71.5,64.7,Физика,"Воронеж, ул. Центральная, д. 69, кв. 78",+375772508423,False
Васильева Ирина Сергеевна,Ж,2025,очная,76.2,,64.6,,,,78.6,78.1,74.2,История,"Воронеж, ул. Пролетарская, д. 28, кв. 84",+375855749062,True
Егорова Виктория Ивановна,Ж,2025,очная,,43.2,79.9,57.2,,,,82.8,68.5,Физика,"Нижний Новгород, ул. Пролетарская, д. 75, кв. 92",+375231582863,False
Сидоров Александр Владимирович,М,2025,очная,,,,,62.2,47.1,67.5,91.8,70.8,Физика,"Новосибирск, ул. Ленина, д. 78, кв. 23",+375678215392,True
Баранова Елена Сергеевна,Ж,2025,очная,68.1,,,61.7,,,75.3,79.9,74.3,Информатика и вычислительная техника,"Санкт-Петербург, ул. Победы, д. 151, кв. 41",+375804850220,True
Иванов Роман Петрович,М,2025,очная,,66.8,,,,52.3,69.4,84.8,70.9,Прикладная математика,"Москва, ул. Ленина, д. 166, кв. 6",+375295616225,True
Лебедев Илья Петрович,М,2025,очная,,,55.7,,82.5,,65.9,73.3,68.8,Физика,"Казань, ул. Школьная, д. 187, кв. 56",+375231677814,False
Лебедев Илья Михайлович,М,2025,заочная,77.1,,,67.6,,72.1,,76.8,75.5,Прикладная математика,"Краснодар, ул. Зелёная, д. 110, кв. 108",+375650527612,True
Сидоров Роман Петрович,М,2025,заочная,,,65.9,70.0,,64.7,,66.6,65.4,Информатика и вычислительная техника,"Екатеринбург, ул. Советская, д. 173, кв. 30",+375678706763,False
Сидоров Максим Сергеевич,М,2025,очно-заочная,55.6,,71.0,,61.1,,,75.5,67.7,Химия,"Нижний Новгород, ул. Новая, д. 57, кв. 128",+375114294300,False
Лебедев Сергей Никитич,М,2025,очно-заочная,,53.1,,,57.2,49.5,,78.0,60.8,Прикладная математика,"Казань, ул. Новая, д. 89, кв. 154",+375866932784,False
Кузнецов Андрей Денисович,М,2025,очная,64.0,,60.5,,61.7,,,80.8,67.0,Прикладная математика,"Казань, ул. Ленина, д. 100, кв. 91",+375266426735,False
Лебедев Максим Алексеевич,М,2025,заочная,,91.6,55.0,,,,77.5,84.4,78.8,История,"Нижний Новгород, ул. Новая, д. 158, кв. 121",+375648784962,True
Смирнов Роман Никитич,М,2025,заочная,59.5,,66.2,66.0,,,,79.7,71.3,Физика,"Воронеж, ул. Школьная, д. 99, кв. 137",+375512062767,True
Попов Сергей Иванович,М,2025,очная,,82.9,69.7,,67.5,,,76.0,74.6,Физика,"Казань, ул. Новая, д. 169, кв. 96",+375022347780,True
Лебедев Егор Денисович,М,2025,заочная,54.8,61.8,79.6,,,,,69.4,64.9,Экономика,"Екатеринбург, ул. Пролетарская, д. 136, кв. 35",+375147823372,False
Кузьмина Виктория Никитична,Ж,2025,очная,,,,58.1,,66.7,55.1,73.8,65.3,Медицинская биохимия,"Новосибирск, ул. Строителей, д. 110, кв. 52",+375011220084,False
Сидоров Илья Владимирович,М,2025,заочная,,58.8,,,54.9,,55.5,82.8,66.3,Экономика,"Воронеж, ул. Ленина, д. 131, кв. 43",+375896713605,False
Баранова Ирина Михайловна,Ж,2025,заочная,53.5,48.7,,,58.9,,,83.0,62.4,Информатика и вычислительная техника,"Екатеринбург, ул. Мира, д. 67, кв. 160",+375519350011,False
Егорова Ирина Петровна,Ж,2025,очная,64.4,,,,56.8,,71.0,68.1,64.6,Информатика и вычислительная техника,"Санкт-Петербург, ул. Ленина, д. 73, кв. 16",+375431566851,False
Павлова Александра Петровна,Ж,2025,очная,,69.0,,68.0,,62.0,,84.6,70.9,Биология,"Москва, ул. Советская, д. 104, кв. 133",+375564717784,True
Иванов Роман Алексеевич,М,2025,заочная,53.8,,,,,78.3,69.5,76.6,70.4,Биология,"Санкт-Петербург, ул. Новая, д. 24, кв. 28",+375586686119,True
Фёдорова Елена Никитична,Ж,2025,очная,,67.4,,,61.5,73.9,,72.1,70.1,Информатика и вычислительная техника,"Москва, ул. Школьная, д. 138, кв. 54",+375534581956,True
Козлов Максим Никитич,М,2025,очная,,59.9,,,79.1,,60.1,84.0,71.2,Химия,"Воронеж, ул. Мира, д. 25, кв. 120",+375758015846,False
Новиков Михаил Сергеевич,М,2025,очная,79.5,62.1,,,,,69.9,71.7,69.6,Экономика,"Воронеж, ул. Новая, д. 152, кв. 144",+375345150252,True
Кузьмина Александра Владимировна,Ж,2025,очная,73.2,64.9,,,74.9,,,74.7,70.8,Экономика,"Москва, ул. Зелёная, д. 196, кв. 58",+375827777118,True
Сидоров Егор Денисович,М,2025,очно-заочная,52.2,66.6,,44.8,,,,76.7,60.9,Прикладная математика,"Москва, ул. Мира, д. 184, кв. 72",+375234473057,False
Фёдорова Наталья Петровна,Ж,2025,очно-заочная,,,,79.8,,69.7,86.3,84.8,79.2,Экономика,"Нижний Новгород, ул. Пролетарская, д. 112, кв. 90",+375667640996,True
Павлова Ольга Михайловна,Ж,2025,очно-заочная,61.6,,,,62.8,,69.9,69.1,68.1,Химия,"Воронеж, ул. Школьная, д. 51, кв. 200",+375793221914,False
Иванов Роман Денисович,М,2025,очная,,,58.3,59.6,,48.3,,78.9,63.6,История,"Самара, ул. Советская, д. 22, кв. 85",+375010162600,True
Соколов Максим Никитич,М,2025,очная,,67.0,53.4,,,71.0,,82.9,69.4,Биология,"Казань, ул. Строителей, д. 129, кв. 183",+375357192149,True
Петров Роман Михайлович,М,2025,очная,,,,73.1,61.6,69.8,,82.7,74.5,Биология,"Москва, ул. Победы, д. 24, кв. 127",+375266528246,True
Баранова Ирина Алексеевна,Ж,2025,заочная,,67.0,,53.1,,64.1,,85.8,68.0,Физика,"Воронеж, ул. Ленина, д. 23, кв. 78",+375605190854,False
Лебедев Максим Петрович,М,2025,очная,63.8,88.9,,,,57.7,,78.8,72.4,Биология,"Воронеж, ул. Победы, д. 98, кв. 154",+375301000908,True
Павлова Виктория Петровна,Ж,2025,очная,62.4,,,,66.3,51.8,,75.3,64.2,Информатика и вычислительная техника,"Екатеринбург, ул. Школьная, д. 179, кв. 72",+375158929093,False
Кузнецов Илья Денисович,М,2025,очная,54.0,67.7,,77.4,,,,82.5,70.6,Прикладная математика,"Новосибирск, ул. Новая, д. 134, кв. 18",+375594747053,True
Иванов Дмитрий Никитич,М,2025,очно-заочная,,40.0,,,,87.5,68.9,73.9,68.8,Биология,"Самара, ул. Строителей, д. 75, кв. 36",+375189142693,True
Попов Никита Иванович,М,2025,очно-заочная,66.8,,,69.7,,55.3,,79.8,69.4,Экономика,"Новосибирск, ул. Строителей, д. 139, кв. 56",+375636885016,True
Фёдорова Екатерина Владимировна,Ж,2025,очная,,59.2,,61.4,,,62.4,70.0,64.4,Информатика и вычислительная техника,"Екатеринбург, ул. Зелёная, д. 165, кв. 102",+375165228989,False
Новиков Илья Сергеевич,М,2025,заочная,63.8,,,,70.3,,70.9,83.5,72.3,Экономика,"Нижний Новгород, ул. Пролетарская, д. 127, кв. 98",+375408385805,True
Смирнов Дмитрий Петрович,М,2025,очно-заочная,69.1,,61.5,75.1,,,,70.5,69.6,Физика,"Нижний Новгород, ул. Новая, д. 90, кв. 24",+375887114860,False
Иванов Егор Иванович,М,2025,очно-заочная,,57.9,57.7,,,77.0,,84.3,71.5,Экономика,"Краснодар, ул. Школьная, д. 164, кв. 119",+375030293011,True
Соловьёва Екатерина Ивановна,Ж,2025,очная,70.8,,,73.4,59.7,,,80.7,72.0,Информатика и вычислительная техника,"Самара, ул. Школьная, д. 39, кв. 47",+375233693180,True
Иванов Александр Денисович,М,2025,очная,67.6,78.5,66.4,,,,,76.3,71.3,Медицинская биохимия,"Самара, ул. Зелёная, д. 94, кв. 62",+375740571446,True
Соловьёва Виктория Владимировна,Ж,2025,очно-заочная,73.6,,75.2,59.2,,,,78.2,71.9,Биология,"Казань, ул. Центральная, д. 96, кв. 57",+375451466886,True
Кузнецов Андрей Михайлович,М,2025,очная,,,57.8,,40.0,,72.4,82.3,66.3,История,"Воронеж, ул. Мира, д. 107, кв. 127",+375366485320,True
Фёдорова Наталья Никитична,Ж,2025,очная,66.5,,,,43.1,66.3,,65.3,62.1,Медицинская биохимия,"Самара, ул. Строителей, д. 56, кв. 169",+375443695805,False
Попов Илья Иванович,М,2025,очная,76.4,,,,52.8,78.2,,84.3,72.6,Информатика и вычислительная техника,"Екатеринбург, ул. Центральная, д. 45, кв. 195",+375939077372,True
Соловьёва Виктория Михайловна,Ж,2025,очная,54.4,,58.9,,,65.1,,73.5,63.7,Физика,"Нижний Новгород, ул. Советская, д. 91, кв. 10",+375204502814,False
Петров Сергей Алексеевич,М,2025,заочная,,70.3,63.7,,49.4,,,65.2,61.3,История,"Санкт-Петербург, ул. Советская, д. 37, кв. 62",+375590426527,True
Медведева Екатерина Владимировна,Ж,2025,заочная,,64.4,55.9,59.1,,,,82.8,68.0,Биология,"Пермь, ул. Школьная, д. 90, кв. 75",+375514609193,False
Лебедев Дмитрий Михайлович,М,2025,очная,,79.6,65.3,,,,66.8,81.6,73.0,Медицинская биохимия,"Новосибирск, ул. Строителей, д. 28, кв. 107",+375733746121,True
Соловьёва Наталья Владимировна,Ж,2025,очно-заочная,,55.0,,,,65.8,67.5,82.7,67.9,Медицинская биохимия,"Казань, ул. Строителей, д. 31, кв. 131",+375762099069,False
Соколов Роман Сергеевич,М,2025,очная,,47.6,,,62.9,,56.6,79.2,65.7,Экономика,"Казань, ул. Школьная, д. 9, кв. 183",+375599822673,False
Васильева Мария Сергеевна,Ж,2025,очная,,71.1,,,76.4,61.1,,75.6,72.3,Прикладная математика,"Новосибирск, ул. Ленина, д. 38, кв. 95",+375936450282,True
Морозова Ольга Сергеевна,Ж,2025,очная,,,76.9,68.6,,79.7,,80.3,75.3,Прикладная математика,"Нижний Новгород, ул. Центральная, д. 152, кв. 7",+375443183436,True
Павлова Александра Петровна,Ж,2025,заочная,,56.1,,,,53.5,50.3,82.6,62.8,Прикладная математика,"Воронеж, ул. Мира, д. 175, кв. 150",+375179265173,False
Морозова Светлана Владимировна,Ж,2025,очная,80.2,,,,84.4,77.6,,85.6,81.1,Физика,"Самара, ул. Строителей, д. 64, кв. 102",+375915737671,True
Васильева Александра Денисовна,Ж,2025,очная,,,58.7,55.4,,75.7,,81.1,69.0,Прикладная математика,"Екатеринбург, ул. Ленина, д. 66, кв. 71",+375500202683,False
Баранова Светлана Ивановна,Ж,2025,заочная,,,70.9,,,66.6,67.4,86.3,74.4,Медицинская биохимия,"Воронеж, ул. Ленина, д. 61, кв. 167",+375040934675,True
Козлов Дмитрий Алексеевич,М,2025,очная,,,,74.9,67.2,71.9,,81.7,74.7,Физика,"Санкт-Петербург, ул. Ленина, д. 193, кв. 81",+375133460184,True
Петров Александр Сергеевич,М,2025,очная,,64.3,70.3,,54.8,,,84.9,71.5,Биология,"Санкт-Петербург, ул. Новая, д. 134, кв. 32",+375636038917,True
Баранова Елена Ивановна,Ж,2025,очная,,,55.5,,68.1,,54.4,81.9,65.3,Информатика и вычислительная техника,"Новосибирск, ул. Советская, д. 66, кв. 179",+375107071634,False
Медведева Анна Никитична,Ж,2025,очная,66.0,45.9,,66.3,,,,75.1,65.4,Прикладная математика,"Казань, ул. Школьная, д. 67, кв. 94",+375697296556,False
Васильева Виктория Денисовна,Ж,2025,очная,74.3,67.9,,66.1,,,,72.9,71.6,Медицинская биохимия,"Воронеж, ул. Победы, д. 150, кв. 91",+375612667830,True
Кузнецов Михаил Денисович,М,2025,очная,,,,62.6,64.6,,70.0,88.7,72.6,Физика,"Казань, ул. Новая, д. 18, кв. 78",+375466276330,True
Петров Дмитрий Денисович,М,2025,очная,54.7,,78.5,,,43.0,,71.4,63.2,Химия,"Санкт-Петербург, ул. Пролетарская, д. 102, кв. 137",+375636470465,False
Соколов Роман Денисович,М,2025,заочная,,57.0,,57.1,45.2,,,81.1,63.1,Химия,"Краснодар, ул. Пролетарская, д. 165, кв. 59",+375631592291,False
Фёдорова Екатерина Ивановна,Ж,2025,очная,,59.5,73.9,,68.4,,,80.2,72.1,Физика,"Санкт-Петербург, ул. Строителей, д. 116, кв. 44",+375282471830,True
Лебедев Дмитрий Владимирович,М,2025,очно-заочная,,,74.3,65.6,,,56.4,84.9,73.6,Химия,"Краснодар, ул. Центральная, д. 149, кв. 158",+375799052217,True
Козлов Илья Владимирович,М,2025,очно-заочная,,,62.5,57.2,64.6,,,73.1,67.5,Прикладная математика,"Москва, ул. Новая, д. 20, кв. 127",+375356316312,False
Соловьёва Александра Денисовна,Ж,2025,заочная,61.0,,,67.5,,68.6,,73.2,70.0,Экономика,"Пермь, ул. Советская, д. 23, кв. 147",+375389990682,True
Павлова Мария Ивановна,Ж,2025,очная,,,58.0,78.6,,,67.7,91.1,75.0,Медицинская биохимия,"Екатеринбург, ул. Новая, д. 31, кв. 62",+375179854900,True
Иванов Роман Сергеевич,М,2025,очная,,80.3,76.2,,54.9,,,83.2,74.3,Биология,"Воронеж, ул. Победы, д. 175, кв. 154",+375981274392,True
Попов Егор Петрович,М,2025,очная,67.5,,57.3,,68.3,,,84.3,71.9,Прикладная математика,"Казань, ул. Зелёная, д. 108, кв. 46",+375123601863,True
Соловьёва Ирина Михайловна,Ж,2025,очная,,68.5,,,54.6,71.6,,74.8,69.5,Биология,"Самара, ул. Победы, д. 3, кв. 198",+375796859096,True
Соловьёва Ирина Денисовна,Ж,2025,очная,68.8,,65.5,,,64.9,,83.2,73.1,Физика,"Краснодар, ул. Зелёная, д. 163, кв. 199",+375351668113,True
Лебедев Роман Сергеевич,М,2025,заочная,57.5,,,81.7,,,49.4,75.0,69.0,Химия,"Новосибирск, ул. Центральная, д. 34, кв. 167",+375224198306,False
Васильева Ольга Сергеевна,Ж,2025,очная,73.6,,67.8,,,67.9,,78.3,71.8,Химия,"Казань, ул. Строителей, д. 70, кв. 40",+375024350947,False
Петров Дмитрий Владимирович,М,2025,очно-заочная,,,65.2,66.7,,,77.8,83.6,74.7,Химия,"Екатеринбург, ул. Пролетарская, д. 139, кв. 159",+375137054245,True
Соколова Виктория Алексеевна,Ж,2025,очная,70.0,,,,,53.3,64.0,76.8,66.2,Химия,"Самара, ул. Пролетарская, д. 45, кв. 10",+375237666969,False
Новиков Максим Никитич,М,2025,очная,56.6,,,65.5,56.3,,,82.5,68.0,Биология,"Москва, ул. Пролетарская, д. 60, кв. 79",+375242406628,False
Егорова Ирина Сергеевна,Ж,2025,очная,,,55.7,,80.5,54.4,,79.9,69.2,Биология,"Санкт-Петербург, ул. Строителей, д. 98, кв. 112",+375940865424,True
Сидоров Андрей Владимирович,М,2025,заочная,,72.4,59.8,,71.6,,,71.2,69.4,Информатика и вычислительная техника,"Нижний Новгород, ул. Мира, д. 195, кв. 144",+375895947039,True
Соколов Роман Михайлович,М,2025,очная,83.9,,65.8,,58.3,,,76.8,71.8,Химия,"Пермь, ул. Строителей, д. 52, кв. 2",+375099542887,False
Смирнов Илья Владимирович,М,2025,очно-заочная,,,,73.6,60.5,59.3,,77.3,67.0,Экономика,"Санкт-Петербург, ул. Зелёная, д. 180, кв. 165",+375069014971,True
Козлов Сергей Михайлович,М,2025,очно-заочная,52.6,,,84.0,,58.9,,83.6,72.5,Медицинская биохимия,"Москва, ул. Школьная, д. 20, кв. 139",+375860167449,True
Павлова Екатерина Михайловна,Ж,2025,очно-заочная,,,68.8,54.4,69.8,,,83.3,70.3,Химия,"Москва, ул. Школьная, д. 105, кв. 105",+375937540242,False
Морозова Елена Денисовна,Ж,2025,заочная,,68.1,,,80.9,,72.5,84.1,78.8,Информатика и вычислительная техника,"Нижний Новгород, ул. Ленина, д. 175, кв. 62",+375857626481,True
Медведева Ольга Михайловна,Ж,2025,очная,,,,65.0,,58.9,61.6,79.8,67.4,Биология,"Нижний Новгород, ул. Победы, д. 5, кв. 185",+375101278969,False
Кузнецов Роман Иванович,М,2025,очно-заочная,,,67.9,,48.0,68.0,,79.5,67.1,Экономика,"Воронеж, ул. Зелёная, д. 13, кв. 56",+375656203634,True
Кузнецов Илья Михайлович,М,2025,очная,,,,65.7,81.1,,67.5,86.5,77.4,Прикладная математика,"Новосибирск, ул. Победы, д. 57, кв. 95",+375761707317,True
Лебедев Егор Денисович,М,2025,заочная,,67.7,,74.3,,86.8,,86.5,80.0,Экономика,"Москва, ул. Строителей, д. 158, кв. 142",+375977475944,True
Медведева Ирина Никитична,Ж,2025,очная,,57.6,66.3,66.3,,,,81.5,71.6,Информатика и вычислительная техника,"Екатеринбург, ул. Зелёная, д. 100, кв. 120",+375687404207,True
Петров Егор Михайлович,М,2025,очная,,68.7,55.8,,,,66.4,66.5,65.2,Биология,"Екатеринбург, ул. Ленина, д. 160, кв. 151",+375000940656,False
Сидоров Андрей Сергеевич,М,2025,очно-заочная,,,77.9,,,65.7,69.6,76.7,72.5,Медицинская биохимия,"Нижний Новгород, ул. Мира, д. 52, кв. 174",+375266000470,True
Морозова Виктория Петровна,Ж,2025,очная,,82.4,40.0,,69.1,,,78.0,67.1,Прикладная математика,"Самара, ул. Строителей, д. 146, кв. 152",+375651181583,False
Кузьмина Наталья Владимировна,Ж,2025,очная,,,61.2,,,82.5,53.1,83.2,71.8,Медицинская биохимия,"Москва, ул. Центральная, д. 185, кв. 119",+375966682905,True
Егорова Александра Никитична,Ж,2025,заочная,69.8,,79.8,,57.1,,,74.2,71.6,Физика,"Екатеринбург, ул. Ленина, д. 187, кв. 47",+375927640547,True
Медведева Виктория Владимировна,Ж,2025,очная,72.5,65.9,54.3,,,,,75.4,67.6,Медицинская биохимия,"Казань, ул. Зелёная, д. 79, кв. 116",+375338914785,False
Смирнов Михаил Михайлович,М,2025,заочная,70.9,72.2,54.4,,,,,61.1,65.8,Физика,"Екатеринбург, ул. Строителей, д. 124, кв. 166",+375351866477,False
Петров Сергей Сергеевич,М,2025,заочная,66.3,52.4,,,44.6,,,61.6,58.5,Химия,"Воронеж, ул. Школьная, д. 137, кв. 21",+375539885217,False
Соловьёва Александра Ивановна,Ж,2025,заочная,78.3,,72.0,,64.3,,,86.9,76.2,Медицинская биохимия,"Пермь, ул. Советская, д. 97, кв. 118",+375592383193,True
Петров Роман Иванович,М,2025,очно-заочная,75.6,85.8,,,49.0,,,78.4,73.8,Физика,"Новосибирск, ул. Центральная, д. 41, кв. 27",+375959730912,True
Сидоров Егор Денисович,М,2025,заочная,47.8,,62.7,,,60.5,,82.4,65.2,Прикладная математика,"Нижний Новгород, ул. Школьная, д. 51, кв. 14",+375153030440,False
Петров Андрей Петрович,М,2025,заочная,,,,65.1,72.7,74.7,,91.5,77.3,История,"Воронеж, ул. Новая, д. 61, кв. 192",+375454182991,True
Новиков Роман Михайлович,М,2025,очная,64.7,,60.9,72.6,,,,73.8,66.9,Прикладная математика,"Санкт-Петербург, ул. Новая, д. 165, кв. 98",+375910082242,False
Егорова Мария Алексеевна,Ж,2025,очная,,82.7,,,64.5,60.3,,75.8,70.2,Медицинская биохимия,"Воронеж, ул. Пролетарская, д. 146, кв. 200",+375620834791,False
Соловьёва Анна Сергеевна,Ж,2025,очная,,,73.1,,,67.0,60.1,88.6,72.6,Экономика,"Екатеринбург, ул. Мира, д. 38, кв. 8",+375074859724,True
Фёдорова Светлана Петровна,Ж,2025,очная,55.8,,70.4,,,,75.6,68.8,68.5,История,"Пермь, ул. Ленина, д. 181, кв. 38",+375860604802,True
Кузьмина Екатерина Ивановна,Ж,2025,очная,,,68.4,60.0,,,73.2,72.8,67.3,История,"Самара, ул. Ленина, д. 66, кв. 22",+375898566430,True
Попов Никита Никитич,М,2025,очная,,73.5,,,77.4,,78.9,80.1,78.7,Экономика,"Воронеж, ул. Школьная, д. 109, кв. 179",+375993136062,True
Баранова Екатерина Ивановна,Ж,2025,заочная,64.2,55.3,,,,78.5,,74.4,69.6,Химия,"Краснодар, ул. Советская, д. 193, кв. 148",+375903803514,False
Баранова Светлана Никитична,Ж,2025,очно-заочная,,53.5,,,68.4,,60.2,72.9,64.0,Прикладная математика,"Самара, ул. Ленина, д. 93, кв. 60",+375472839516,False
Новиков Александр Никитич,М,2025,очно-заочная,,51.5,,64.2,,62.7,,80.1,67.9,Медицинская биохимия,"Пермь, ул. Новая, д. 85, кв. 98",+375292582282,False
Морозова Анна Сергеевна,Ж,2025,очная,74.9,71.4,62.5,,,,,77.4,73.1,Химия,"Воронеж, ул. Зелёная, д. 105, кв. 164",+375780964583,True
Смирнов Илья Никитич,М,2025,заочная,,66.9,77.3,64.3,,,,75.8,71.0,Экономика,"Нижний Новгород, ул. Школьная, д. 154, кв. 161",+375289748741,True
Кузьмина Мария Владимировна,Ж,2025,очно-заочная,,54.3,,47.8,,75.1,,82.1,68.3,Прикладная математика,"Самара, ул. Зелёная, д. 109, кв. 66",+375534965515,False
Кузьмина Елена Петровна,Ж,2025,очная,,,,71.0,69.1,75.1,,75.7,73.4,Информатика и вычислительная техника,"Екатеринбург, ул. Школьная, д. 189, кв. 130",+375201630159,True
Сидоров Максим Михайлович,М,2025,очная,,,78.5,,62.8,,62.6,82.2,72.9,Физика,"Воронеж, ул. Строителей, д. 13, кв. 146",+375846018040,True
Кузьмина Ольга Ивановна,Ж,2025,очная,,69.5,67.0,,,,69.8,78.4,71.7,Медицинская биохимия,"Краснодар, ул. Советская, д. 89, кв. 84",+375446053926,True
Лебедев Никита Михайлович,М,2025,заочная,,89.8,,73.3,,,71.6,79.3,78.2,Биология,"Казань, ул. Пролетарская, д. 147, кв. 17",+375192856728,True
Сидоров Александр Петрович,М,2025,заочная,,76.6,74.8,,,,68.0,76.8,73.8,Экономика,"Нижний Новгород, ул. Строителей, д. 36, кв. 23",+375262643956,True
Смирнов Андрей Михайлович,М,2025,очно-заочная,66.3,,,40.0,71.4,,,75.7,63.3,История,"Самара, ул. Пролетарская, д. 26, кв. 156",+375817755129,True
Кузьмина Ирина Петровна,Ж,2025,очно-заочная,,79.0,62.2,,58.3,,,78.3,70.7,Физика,"Екатеринбург, ул. Строителей, д. 200, кв. 165",+375597477656,True
Соколова Виктория Денисовна,Ж,2025,очная,,,53.2,,73.7,,66.0,84.3,70.2,Химия,"Воронеж, ул. Строителей, д. 121, кв. 169",+375715692209,False
Иванов Роман Денисович,М,2025,очная,,61.7,64.8,,,50.9,,82.8,67.3,Экономика,"Москва, ул. Ленина, д. 29, кв. 32",+375547734943,True
Медведева Ирина Денисовна,Ж,2025,очная,,,75.8,69.3,,,63.6,81.1,73.0,Биология,"Краснодар, ул. Центральная, д. 25, кв. 101",+375855739523,True
Соловьёва Светлана Никитична,Ж,2025,очная,84.9,,,,66.5,67.2,,72.1,73.9,Химия,"Нижний Новгород, ул. Строителей, д. 26, кв. 168",+375660284136,True
Смирнов Сергей Денисович,М,2025,очная,54.8,,,70.0,,,82.0,77.1,72.3,Экономика,"Санкт-Петербург, ул. Центральная, д. 187, кв. 127",+375973418559,True
Козлов Александр Сергеевич,М,2025,очная,,,59.0,61.5,,,57.6,80.4,65.1,Медицинская биохимия,"Санкт-Петербург, ул. Зелёная, д. 90, кв. 158",+375001706794,False
Медведева Наталья Владимировна,Ж,2025,очно-заочная,,49.2,74.8,,63.4,,,82.9,68.1,Физика,"Нижний Новгород, ул. Пролетарская, д. 200, кв. 61",+375896763536,False
Попов Сергей Никитич,М,2025,очно-заочная,53.2,,,72.2,69.0,,,80.9,69.5,Биология,"Санкт-Петербург, ул. Победы, д. 60, кв. 89",+375139014309,True
Сидоров Илья Денисович,М,2025,очная,,55.1,,70.2,51.4,,,77.1,66.1,Экономика,"Самара, ул. Новая, д. 114, кв. 197",+375148030073,False
Соловьёва Елена Алексеевна,Ж,2025,очная,81.0,72.4,,,70.6,,,72.8,73.0,Медицинская биохимия,"Краснодар, ул. Пролетарская, д. 68, кв. 182",+375128866911,True
Павлова Екатерина Алексеевна,Ж,2025,очная,,70.7,,,,62.8,41.6,83.3,67.4,Прикладная математика,"Пермь, ул. Пролетарская, д. 38, кв. 86",+375946574465,False
