ФИО,Пол,Год поступления,Форма обучения,Специальность,Адрес регистрации,Телефон,Средний балл аттестата,Балл ЦТ: Математика,Балл ЦТ: Русский язык,Балл ЦТ: Физика,Балл ЦТ: Биология,Балл ЦТ: Химия,Балл ЦТ: История,Балл ЦТ: Информатика,CE_mean,Общий балл при поступлении
Егорова Ольга Денисовна,Ж,2024,заочная,Физика,"Санкт-Петербург, ул. Школьная, д. 127, кв. 30",+375745208823,80.3,50.2,,58.3,,59.9,,,56.13333333333333,63.8
Новиков Максим Михайлович,М,2024,заочная,Прикладная математика,"Воронеж, ул. Центральная, д. 117, кв. 154",+375612570301,74.2,66.7,,42.8,,,,70.0,59.833333333333336,63.3
Соколов Никита Денисович,М,2024,очная,Информатика и вычислительная техника,"Казань, ул. Зелёная, д. 58, кв. 142",+375758128852,72.8,61.8,73.0,,66.9,,,,67.23333333333333,70.1
Петров Дмитрий Владимирович,М,2024,очная,Прикладная математика,"Воронеж, ул. Центральная, д. 110, кв. 49",+375416975712,95.3,,,48.5,70.3,,,76.0,64.93333333333334,77.5
Смирнов Андрей Никитич,М,2024,очная,Химия,"Санкт-Петербург, ул. Зелёная, д. 174, кв. 95",+375690657632,93.2,,70.7,,66.6,,,65.3,67.53333333333335,75.0
Лебедев Михаил Никитич,М,2024,очная,Медицинская биохимия,"Новосибирск, ул. Ленина, д. 173, кв. 126",+375238814031,81.8,49.4,,,61.2,71.3,,,60.633333333333326,67.8
Соколова Виктория Петровна,Ж,2024,очная,Физика,"Санкт-Петербург, ул. Новая, д. 113, кв. 134",+375734344426,82.6,62.4,,68.5,,,68.7,,66.53333333333335,70.4
Попов Михаил Петрович,М,2024,очно-заочная,История,"Санкт-Петербург, ул. Советская, д. 37, кв. 102",+375212273294,73.4,,,,74.1,65.9,,59.1,66.36666666666666,69.9
Егорова Светлана Сергеевна,Ж,2024,очная,Физика,"Воронеж, ул. Пролетарская, д. 27, кв. 190",+375387674360,71.2,,53.9,,84.2,,79.9,,72.66666666666667,73.9
Кузнецов Никита Денисович,М,2024,заочная,Экономика,"Новосибирск, ул. Советская, д. 94, кв. 51",+375576165430,76.3,,,56.7,,86.7,54.6,,66.0,69.6
Попов Илья Михайлович,М,2024,очная,Химия,"Нижний Новгород, ул. Победы, д. 153, кв. 104",+375169247754,78.3,56.7,,62.5,,,,63.7,60.96666666666667,66.7
Козлов Егор Алексеевич,М,2024,очная,Физика,"Санкт-Петербург, ул. Победы, д. 109, кв. 186",+375180103344,82.6,,,,68.2,69.9,76.5,,71.53333333333335,77.0
Лебедев Роман Никитич,М,2024,очная,Экономика,"Краснодар, ул. Центральная, д. 196, кв. 183",+375725217086,67.3,78.5,,60.0,59.7,,,,66.06666666666666,65.0
Соколова Анна Петровна,Ж,2024,очная,История,"Самара, ул. Пролетарская, д. 70, кв. 194",+375932588394,91.2,66.0,,,,65.3,62.9,,64.73333333333333,75.6
Иванов Михаил Петрович,М,2024,очно-заочная,Биология,"Воронеж, ул. Школьная, д. 122, кв. 171",+375811407491,79.8,,71.5,,,73.6,46.5,,63.86666666666667,69.0
Фёдорова Екатерина Денисовна,Ж,2024,очная,Прикладная математика,"Самара, ул. Новая, д. 125, кв. 131",+375816756036,69.0,65.3,70.9,,,,,68.9,68.36666666666666,68.8
Соколов Александр Сергеевич,М,2024,очная,История,"Казань, ул. Мира, д. 197, кв. 117",+375005324899,79.2,,74.1,72.0,87.4,,,,77.83333333333333,78.4
Кузьмина Екатерина Алексеевна,Ж,2024,очная,Информатика и вычислительная техника,"Санкт-Петербург, ул. Советская, д. 65, кв. 126",+375924948930,72.9,59.9,,,67.1,72.5,,,66.5,69.2
Морозова Ирина Никитична,Ж,2024,очная,Химия,"Краснодар, ул. Победы, д. 161, кв. 35",+375940599609,72.5,,58.7,,72.4,,65.5,,65.53333333333335,69.7
Морозова Ирина Никитична,Ж,2024,очная,Биология,"Москва, ул. Советская, д. 189, кв. 14",+375380874563,71.9,56.2,,57.5,,,53.1,,55.6,63.1
Иванов Максим Владимирович,М,2024,очно-заочная,Информатика и вычислительная техника,"Санкт-Петербург, ул. Зелёная, д. 174, кв. 7",+375565514263,76.8,,,,83.2,65.1,,78.9,75.73333333333333,77.4
Кузнецов Илья Владимирович,М,2024,заочная,Информатика и вычислительная техника,"Новосибирск, ул. Новая, д. 155, кв. 174",+375055672591,90.9,55.3,,,67.1,,,71.7,64.7,72.6
Петров Дмитрий Иванович,М,2024,очная,Химия,"Нижний Новгород, ул. Мира, д. 78, кв. 160",+375812918040,78.9,51.4,72.9,,,,,49.8,58.03333333333334,64.7
Фёдорова Ольга Петровна,Ж,2024,очно-заочная,Биология,"Самара, ул. Советская, д. 195, кв. 20",+375477717406,82.5,,69.4,,61.2,,,57.8,62.80000000000001,69.6
Новиков Максим Сергеевич,М,2024,очная,Медицинская биохимия,"Пермь, ул. Зелёная, д. 120, кв. 52",+375540059699,83.9,46.0,,75.0,66.0,,,,62.333333333333336,71.5
Лебедев Андрей Иванович,М,2024,очная,Информатика и вычислительная техника,"Казань, ул. Зелёная, д. 126, кв. 130",+375083419712,77.4,,,80.7,,71.9,,68.1,73.56666666666668,75.0
Соловьёва Анна Петровна,Ж,2024,очная,Информатика и вычислительная техника,"Казань, ул. Строителей, д. 88, кв. 139",+375815365988,71.3,,66.1,,77.1,,,55.9,66.36666666666666,70.0
Сидоров Никита Денисович,М,2024,очная,Биология,"Пермь, ул. Ленина, д. 196, кв. 9",+375930179713,68.7,65.5,,69.1,71.6,,,,68.73333333333333,70.7
Павлова Мария Владимировна,Ж,2024,очная,Физика,"Воронеж, ул. Советская, д. 99, кв. 116",+375063788245,76.0,67.6,72.1,,,62.2,,,67.3,70.7
Петров Дмитрий Петрович,М,2024,очная,Информатика и вычислительная техника,"Нижний Новгород, ул. Новая, д. 114, кв. 118",+375597553672,85.2,,74.8,,73.1,,86.9,,78.26666666666667,82.2
Попов Егор Михайлович,М,2024,очная,Прикладная математика,"Москва, ул. Ленина, д. 46, кв. 143",+375627005983,83.9,67.9,,67.2,,71.6,,,68.9,76.1
Егорова Екатерина Алексеевна,Ж,2024,очная,Биология,"Казань, ул. Мира, д. 126, кв. 111",+375540582213,79.8,40.0,,,59.6,66.8,,,55.46666666666666,65.4
Петров Максим Иванович,М,2024,очная,Информатика и вычислительная техника,"Новосибирск, ул. Центральная, д. 184, кв. 100",+375921029584,80.6,,,64.9,58.0,,,58.8,60.56666666666666,68.2
Васильева Виктория Денисовна,Ж,2024,заочная,Химия,"Краснодар, ул. Советская, д. 146, кв. 173",+375244464684,77.5,62.2,61.6,,66.5,,,,63.43333333333334,69.7
Кузнецов Егор Алексеевич,М,2024,очная,История,"Краснодар, ул. Строителей, д. 176, кв. 139",+375147319288,75.4,72.4,41.2,,52.5,,,,55.366666666666674,60.7
Новиков Никита Денисович,М,2024,очная,Прикладная математика,"Самара, ул. Зелёная, д. 122, кв. 144",+375777770587,73.9,,53.8,57.7,,,,73.0,61.5,66.4
Морозова Ольга Петровна,Ж,2024,очная,Экономика,"Новосибирск, ул. Строителей, д. 15, кв. 101",+375201165178,69.5,71.5,52.3,,,,,66.5,63.43333333333334,64.4
Морозова Екатерина Владимировна,Ж,2024,очная,Экономика,"Казань, ул. Зелёная, д. 152, кв. 97",+375630337331,89.1,82.7,,56.3,66.0,,,,68.33333333333333,74.1
Егорова Александра Никитична,Ж,2024,очная,История,"Самара, ул. Школьная, д. 197, кв. 73",+375963526523,79.3,,,49.1,56.0,,81.8,,62.29999999999999,69.8
Кузнецов Максим Михайлович,М,2024,очная,Экономика,"Нижний Новгород, ул. Ленина, д. 8, кв. 152",+375948536134,75.6,,,,77.1,73.4,,76.5,75.66666666666667,76.2
Павлова Мария Михайловна,Ж,2024,очная,История,"Москва, ул. Мира, д. 94, кв. 90",+375338157769,89.2,,52.7,86.9,,,68.3,,69.30000000000001,75.2
Смирнов Александр Сергеевич,М,2024,очная,Информатика и вычислительная техника,"Самара, ул. Ленина, д. 196, кв. 161",+375369551776,90.4,62.1,70.4,,,,67.3,,66.60000000000001,74.5
Новиков Андрей Сергеевич,М,2024,очная,Прикладная математика,"Нижний Новгород, ул. Новая, д. 25, кв. 110",+375878851626,94.8,,,61.5,71.4,,64.6,,65.83333333333333,77.9
Кузьмина Елена Ивановна,Ж,2024,очная,Прикладная математика,"Нижний Новгород, ул. Школьная, д. 106, кв. 90",+375899155884,76.8,,65.2,92.2,,,,52.0,69.8,73.7
Лебедев Сергей Владимирович,М,2024,очная,Физика,"Москва, ул. Победы, д. 64, кв. 61",+375487675267,78.9,,,,67.1,,68.7,94.8,76.86666666666667,75.6
Павлова Мария Денисовна,Ж,2024,очная,История,"Казань, ул. Пролетарская, д. 22, кв. 177",+375706211782,82.2,,58.7,,,74.9,60.4,,64.66666666666667,72.7
Петров Роман Иванович,М,2024,очная,Прикладная математика,"Санкт-Петербург, ул. Центральная, д. 30, кв. 87",+375259052382,88.3,,,53.8,54.4,,64.0,,57.4,67.7
Попов Егор Алексеевич,М,2025,заочная,Физика,"Новосибирск, ул. Ленина, д. 138, кв. 84",+375026640797,79.0,,,,76.1,71.4,82.3,,76.60000000000001,78.2
Баранова Елена Владимировна,Ж,2025,очная,Биология,"Москва, ул. Зелёная, д. 169, кв. 109",+375999192303,72.7,61.8,,,,48.4,,81.2,63.79999999999999,67.8
Медведева Александра Алексеевна,Ж,2025,очная,Физика,"Самара, ул. Строителей, д. 108, кв. 69",+375429157603,74.1,,77.4,,,62.5,,58.0,65.96666666666667,70.5
Морозова Наталья Ивановна,Ж,2025,очная,Химия,"Москва, ул. Зелёная, д. 151, кв. 6",+375258868748,85.7,69.5,,,,64.2,91.3,,75.0,80.3
Морозова Виктория Ивановна,Ж,2025,заочная,Медицинская биохимия,"Нижний Новгород, ул. Новая, д. 147, кв. 100",+375647689086,82.3,,61.8,74.0,,71.2,,,69.0,72.8
Павлова Ирина Ивановна,Ж,2025,очная,Информатика и вычислительная техника,"Нижний Новгород, ул. Пролетарская, д. 26, кв. 126",+375004785975,77.6,,,61.6,,,64.2,68.3,64.7,69.8
Егорова Анна Михайловна,Ж,2025,очная,Биология,"Санкт-Петербург, ул. Победы, д. 87, кв. 128",+375534122445,77.2,65.7,77.1,,60.4,,,,67.73333333333333,70.6
Егорова Светлана Владимировна,Ж,2025,очная,Медицинская биохимия,"Пермь, ул. Школьная, д. 43, кв. 158",+375457135408,77.6,,67.5,77.4,72.0,,,,72.3,74.3
Петров Никита Алексеевич,М,2025,очная,Медицинская биохимия,"Казань, ул. Школьная, д. 112, кв. 52",+375218645303,86.0,85.3,,,60.2,,74.1,,73.2,77.9
Петров Илья Михайлович,М,2025,очная,Биология,"Краснодар, ул. Советская, д. 138, кв. 55",+375809246852,73.9,58.3,,58.9,,63.3,,,60.166666666666664,64.6
Козлов Дмитрий Сергеевич,М,2025,очная,Химия,"Казань, ул. Центральная, д. 13, кв. 77",+375632663610,71.3,,70.1,,66.2,,,74.7,70.33333333333333,70.5
Медведева Екатерина Никитична,Ж,2025,заочная,Физика,"Самара, ул. Новая, д. 58, кв. 160",+375137295588,89.5,56.0,,,,75.7,75.1,,68.93333333333332,75.0
Баранова Елена Петровна,Ж,2025,очная,Информатика и вычислительная техника,"Санкт-Петербург, ул. Пролетарская, д. 25, кв. 152",+375385195173,78.8,84.3,58.8,,,,73.3,,72.13333333333333,74.9
Соколов Илья Сергеевич,М,2025,очно-заочная,Физика,"Нижний Новгород, ул. Центральная, д. 18, кв. 146",+375477530678,78.1,,,,62.3,77.2,68.7,,69.39999999999999,73.5
Павлова Анна Петровна,Ж,2025,заочная,Прикладная математика,"Пермь, ул. Зелёная, д. 110, кв. 54",+375103490452,82.6,,61.4,,,73.1,,50.6,61.699999999999996,68.7
Морозова Елена Денисовна,Ж,2025,очная,Физика,"Нижний Новгород, ул. Советская, д. 167, кв. 78",+375653242988,72.7,,65.8,53.6,62.5,,,,60.63333333333333,66.8
Новиков Роман Иванович,М,2025,очная,Экономика,"Пермь, ул. Центральная, д. 111, кв. 170",+375553319379,83.1,,68.0,,,63.2,,76.5,69.23333333333333,72.3
Васильева Ирина Петровна,Ж,2025,очная,Биология,"Пермь, ул. Школьная, д. 52, кв. 107",+375180115628,76.3,78.5,,80.5,,,59.0,,72.66666666666667,74.3
Васильева Анна Ивановна,Ж,2025,очная,Информатика и вычислительная техника,"Воронеж, ул. Центральная, д. 160, кв. 132",+375443873318,85.4,58.7,,40.0,,,58.4,,52.36666666666667,64.3
Лебедев Максим Никитич,М,2025,очная,Физика,"Краснодар, ул. Строителей, д. 47, кв. 5",+375236977369,69.4,48.2,,,70.1,58.7,,,59.0,60.8
Медведева Светлана Михайловна,Ж,2025,заочная,Информатика и вычислительная техника,"Пермь, ул. Мира, д. 148, кв. 128",+375055517441,81.3,,,,79.3,,66.3,66.4,70.66666666666667,73.3
Попов Максим Алексеевич,М,2025,очно-заочная,Информатика и вычислительная техника,"Екатеринбург, ул. Зелёная, д. 69, кв. 164",+375388583010,77.2,,,55.5,43.4,,72.1,,57.0,65.7
Морозова Ирина Ивановна,Ж,2025,очная,Прикладная математика,"Пермь, ул. Пролетарская, д. 197, кв. 112",+375789515828,74.4,,,,64.4,77.9,,61.8,68.03333333333335,70.4
Егорова Александра Михайловна,Ж,2025,очная,Прикладная математика,"Самара, ул. Ленина, д. 134, кв. 52",+375141698643,83.2,69.8,,65.4,,75.3,,,70.16666666666667,74.5
Морозова Светлана Михайловна,Ж,2025,заочная,Биология,"Нижний Новгород, ул. Зелёная, д. 38, кв. 62",+375397999990,77.7,,67.5,,57.7,,68.9,,64.7,68.9
Петров Роман Денисович,М,2025,заочная,Химия,"Новосибирск, ул. Центральная, д. 112, кв. 106",+375418697585,81.4,,53.7,68.8,,65.3,,,62.6,70.7
Медведева Наталья Никитична,Ж,2025,заочная,Экономика,"Нижний Новгород, ул. Советская, д. 163, кв. 53",+375668703676,86.2,,74.9,,,74.2,,81.7,76.93333333333334,79.6
Фёдорова Анна Алексеевна,Ж,2025,очная,Медицинская биохимия,"Воронеж, ул. Центральная, д. 74, кв. 166",+375236765886,83.3,,,74.1,71.2,,,53.4,66.23333333333333,73.6
Сидоров Егор Михайлович,М,2025,очная,Информатика и вычислительная техника,"Новосибирск, ул. Центральная, д. 176, кв. 154",+375750051701,72.1,,,,63.1,,61.1,54.5,59.56666666666666,63.2
Баранова Мария Петровна,Ж,2025,очная,Химия,"Екатеринбург, ул. Новая, д. 62, кв. 30",+375759116447,75.3,,,91.1,,63.7,63.8,,72.86666666666667,73.8
Козлов Сергей Иванович,М,2025,очная,Медицинская биохимия,"Новосибирск, ул. Победы, д. 8, кв. 63",+375683931200,81.4,70.6,,,,,58.9,82.2,70.56666666666666,72.9
Соколова Анна Сергеевна,Ж,2025,очная,Медицинская биохимия,"Казань, ул. Зелёная, д. 125, кв. 144",+375642612071,83.4,65.9,,,,,61.0,62.9,63.26666666666667,71.6
Лебедев Александр Никитич,М,2025,очная,Экономика,"Воронеж, ул. Новая, д. 166, кв. 10",+375685118978,76.3,73.6,,,,65.9,62.0,,67.16666666666667,71.3
Сидоров Никита Алексеевич,М,2025,очно-заочная,Биология,"Екатеринбург, ул. Мира, д. 70, кв. 35",+375331909399,79.8,81.0,,,73.6,,,56.5,70.36666666666666,73.8
Козлов Александр Владимирович,М,2025,очная,Медицинская биохимия,"Москва, ул. Центральная, д. 72, кв. 169",+375717003684,79.7,,,,,77.4,75.8,83.4,78.86666666666666,77.3
Соловьёва Ольга Сергеевна,Ж,2025,очная,Экономика,"Пермь, ул. Мира, д. 165, кв. 11",+375161882732,80.6,50.3,,,63.7,,88.1,,67.36666666666666,71.9
Попов Никита Михайлович,М,2025,очная,Медицинская биохимия,"Краснодар, ул. Ленина, д. 15, кв. 22",+375043097772,71.5,70.9,,,,48.9,,87.7,69.16666666666667,68.9
Баранова Мария Никитична,Ж,2025,очная,Информатика и вычислительная техника,"Нижний Новгород, ул. Пролетарская, д. 77, кв. 17",+375568485999,70.1,,,61.1,70.8,,69.4,,67.10000000000001,67.8
Козлов Дмитрий Иванович,М,2025,очная,Информатика и вычислительная техника,"Воронеж, ул. Школьная, д. 172, кв. 169",+375300942440,65.0,,66.6,,70.9,,,63.8,67.10000000000001,67.8
Кузнецов Максим Иванович,М,2025,очная,История,"Санкт-Петербург, ул. Новая, д. 186, кв. 36",+375744870260,79.2,70.7,,,53.5,69.9,,,64.7,70.9
Морозова Елена Денисовна,Ж,2025,очно-заочная,Химия,"Екатеринбург, ул. Советская, д. 147, кв. 189",+375048591854,70.4,68.1,50.2,,86.3,,,,68.2,67.9
Кузьмина Ирина Никитична,Ж,2025,очная,Физика,"Пермь, ул. Советская, д. 134, кв. 171",+375425391288,91.4,,,52.8,71.8,,62.4,,62.333333333333336,74.4
Козлов Дмитрий Денисович,М,2025,очная,Экономика,"Самара, ул. Строителей, д. 65, кв. 128",+375599834958,82.5,,,,54.7,,74.4,63.8,64.30000000000001,72.3
Соловьёва Анна Сергеевна,Ж,2025,очная,Прикладная математика,"Санкт-Петербург, ул. Победы, д. 154, кв. 32",+375470490956,71.5,82.0,61.0,84.7,,,,,75.89999999999999,74.5
Баранова Ирина Михайловна,Ж,2025,заочная,Экономика,"Нижний Новгород, ул. Школьная, д. 150, кв. 189",+375405945966,85.4,,,64.7,,54.4,65.7,,61.6,70.1
Павлова Виктория Денисовна,Ж,2025,очно-заочная,Физика,"Воронеж, ул. Победы, д. 109, кв. 56",+375125213498,85.4,,,56.5,,,79.4,53.3,63.06666666666666,72.5
Новиков Егор Денисович,М,2025,очно-заочная,Химия,"Новосибирск, ул. Советская, д. 45, кв. 55",+375225456247,85.9,,78.8,,53.8,,,63.9,65.5,73.2
Козлов Сергей Сергеевич,М,2025,очная,Прикладная математика,"Казань, ул. Зелёная, д. 105, кв. 66",+375391312339,73.8,70.6,,,62.8,,,60.8,64.73333333333333,68.1
Соколова Екатерина Владимировна,Ж,2025,очная,Физика,"Самара, ул. Ленина, д. 126, кв. 137",+375895838854,82.9,65.7,56.7,,,,,50.0,57.46666666666667,67.4
Кузнецов Александр Никитич,М,2025,очная,История,"Нижний Новгород, ул. Советская, д. 82, кв. 140",+375242441865,86.0,,,53.4,,64.3,,65.0,60.9,68.6
Соловьёва Анна Ивановна,Ж,2025,очная,Прикладная математика,"Воронеж, ул. Зелёная, д. 175, кв. 64",+375437170902,88.0,,,,,60.1,80.1,59.8,66.66666666666667,75.6
Кузьмина Елена Петровна,Ж,2025,заочная,Информатика и вычислительная техника,"Казань, ул. Мира, д. 93, кв. 122",+375453661111,69.5,,62.8,60.4,,,,69.7,64.3,66.2
Медведева Ольга Сергеевна,Ж,2025,очная,Физика,"Нижний Новгород, ул. Центральная, д. 6, кв. 166",+375847440532,77.3,,63.8,,79.1,51.9,,,64.93333333333332,69.7
Фёдорова Елена Ивановна,Ж,2025,заочная,Экономика,"Самара, ул. Ленина, д. 190, кв. 170",+375517087098,73.5,,71.1,,61.5,72.4,,,68.33333333333333,68.5
Кузьмина Екатерина Петровна,Ж,2025,очно-заочная,Прикладная математика,"Москва, ул. Победы, д. 65, кв. 142",+375121719106,89.8,,,,55.4,71.9,59.7,,62.333333333333336,71.2
Кузнецов Александр Владимирович,М,2025,очная,История,"Воронеж, ул. Центральная, д. 164, кв. 180",+375194422253,81.5,73.8,,,,68.9,,76.8,73.16666666666667,75.8
Фёдорова Александра Петровна,Ж,2025,заочная,Экономика,"Нижний Новгород, ул. Советская, д. 137, кв. 61",+375212353722,83.9,,68.4,,71.9,,,73.4,71.23333333333333,75.3
Петров Роман Алексеевич,М,2025,очная,Медицинская биохимия,"Краснодар, ул. Новая, д. 3, кв. 101",+375273019125,81.5,,66.8,,76.5,,49.9,,64.4,71.5
Петров Никита Иванович,М,2025,очная,Прикладная математика,"Казань, ул. Центральная, д. 24, кв. 194",+375708091268,80.9,,72.5,81.5,,63.4,,,72.46666666666667,74.5
Васильева Елена Сергеевна,Ж,2025,очная,Прикладная математика,"Екатеринбург, ул. Центральная, д. 54, кв. 42",+375278963335,73.4,59.7,52.4,,65.7,,,,59.26666666666667,62.9
Кузьмина Ирина Никитична,Ж,2025,очная,История,"Краснодар, ул. Школьная, д. 197, кв. 165",+375348674467,75.9,,62.5,,,60.0,49.7,,57.4,64.2
Соловьёва Елена Никитична,Ж,2025,очная,Медицинская биохимия,"Воронеж, ул. Ленина, д. 71, кв. 21",+375812196111,79.0,67.3,,,,63.8,59.9,,63.666666666666664,69.5
Кузьмина Наталья Сергеевна,Ж,2025,очная,Физика,"Краснодар, ул. Зелёная, д. 189, кв. 106",+375301269052,74.7,,,83.0,67.6,,,79.4,76.66666666666667,74.5
Кузнецов Дмитрий Алексеевич,М,2025,очная,Биология,"Нижний Новгород, ул. Новая, д. 26, кв. 42",+375233627761,73.6,,55.6,,,69.7,,65.6,63.63333333333333,65.1
Петров Роман Алексеевич,М,2025,очная,Физика,"Казань, ул. Строителей, д. 17, кв. 91",+375459394861,77.4,81.4,62.6,58.8,,,,,67.60000000000001,72.7
Васильева Мария Денисовна,Ж,2025,очная,Медицинская биохимия,"Воронеж, ул. Пролетарская, д. 187, кв. 141",+375012129838,75.0,61.1,,,69.3,,,46.9,59.1,63.0
Попов Михаил Владимирович,М,2025,очная,Химия,"Нижний Новгород, ул. Зелёная, д. 178, кв. 8",+375204991311,78.9,64.9,,,,63.4,57.3,,61.866666666666674,69.4
Козлов Дмитрий Никитич,М,2025,очная,Экономика,"Москва, ул. Мира, д. 162, кв. 114",+375243191569,75.9,76.7,59.9,,,64.5,,,67.03333333333333,69.7
Лебедев Сергей Михайлович,М,2025,очная,История,"Новосибирск, ул. Ленина, д. 103, кв. 52",+375560520739,74.5,79.5,,,,55.4,71.0,,68.63333333333334,71.3
Смирнов Михаил Петрович,М,2025,очно-заочная,Физика,"Казань, ул. Школьная, д. 148, кв. 22",+375793393584,73.0,70.6,,,46.7,70.4,,,62.56666666666666,65.0
Сидоров Дмитрий Михайлович,М,2025,очно-заочная,Прикладная математика,"Санкт-Петербург, ул. Мира, д. 64, кв. 133",+375977398845,78.6,,72.0,,,,67.6,60.8,66.8,72.2
Иванов Роман Сергеевич,М,2025,заочная,История,"Новосибирск, ул. Пролетарская, д. 176, кв. 106",+375427838867,83.9,,,63.0,63.5,,85.3,,70.60000000000001,74.0
Сидоров Егор Петрович,М,2025,очно-заочная,Информатика и вычислительная техника,"Нижний Новгород, ул. Зелёная, д. 123, кв. 189",+375242652809,82.5,,59.9,,,,54.6,46.4,53.63333333333333,63.3
Попов Сергей Владимирович,М,2025,очная,Медицинская биохимия,"Новосибирск, ул. Центральная, д. 45, кв. 176",+375296221839,69.4,,76.4,61.2,,60.4,,,66.00000000000001,66.1
Соколова Светлана Михайловна,Ж,2025,очно-заочная,Экономика,"Самара, ул. Школьная, д. 73, кв. 51",+375518694639,83.8,,53.7,,61.2,,,78.0,64.3,72.5
Сидоров Илья Иванович,М,2025,очная,Физика,"Санкт-Петербург, ул. Новая, д. 95, кв. 47",+375616330244,82.5,72.9,,60.5,,,,79.2,70.86666666666667,76.4
Лебедев Никита Сергеевич,М,2025,очная,История,"Воронеж, ул. Новая, д. 147, кв. 58",+375130805620,83.9,55.3,75.0,54.8,,,,,61.70000000000001,69.0
Фёдорова Мария Петровна,Ж,2025,очно-заочная,Экономика,"Москва, ул. Ленина, д. 143, кв. 166",+375629553593,85.1,60.5,,,,65.5,61.6,,62.53333333333333,69.7
Петров Максим Иванович,М,2025,очная,Физика,"Самара, ул. Победы, д. 23, кв. 119",+375781688405,74.2,55.6,,,,,55.4,65.3,58.76666666666667,65.3
Павлова Анна Алексеевна,Ж,2025,очно-заочная,История,"Екатеринбург, ул. Центральная, д. 180, кв. 44",+375701041993,76.8,64.7,,,82.5,82.1,,,76.43333333333332,78.1
Егорова Ольга Никитична,Ж,2025,заочная,Прикладная математика,"Москва, ул. Новая, д. 159, кв. 110",+375067417060,89.3,66.3,68.7,78.9,,,,,71.3,78.1
Новиков Дмитрий Михайлович,М,2025,заочная,Информатика и вычислительная техника,"Самара, ул. Центральная, д. 39, кв. 23",+375554118446,89.0,75.6,58.8,72.7,,,,,69.03333333333332,77.7
Иванов Дмитрий Петрович,М,2025,заочная,Информатика и вычислительная техника,"Нижний Новгород, ул. Мира, д. 146, кв. 31",+375510432191,78.1,73.5,,50.1,75.5,,,,66.36666666666666,70.0
Фёдорова Ольга Алексеевна,Ж,2025,очная,Химия,"Москва, ул. Строителей, д. 112, кв. 198",+375313286278,82.2,,59.5,,63.5,,,59.7,60.9,67.0
Соловьёва Мария Петровна,Ж,2025,очная,История,"Краснодар, ул. Зелёная, д. 31, кв. 58",+375653472126,82.7,84.3,,,57.6,,,67.7,69.86666666666667,73.1
Лебедев Александр Иванович,М,2025,очная,Физика,"Екатеринбург, ул. Победы, д. 69, кв. 74",+375706822737,89.1,60.4,,,62.9,,,58.8,60.699999999999996,71.3
Баранова Екатерина Владимировна,Ж,2025,очная,Информатика и вычислительная техника,"Краснодар, ул. Новая, д. 34, кв. 111",+375423375685,80.7,59.6,78.6,,,,85.1,,74.43333333333332,76.3
Лебедев Никита Иванович,М,2025,очная,Медицинская биохимия,"Екатеринбург, ул. Пролетарская, д. 56, кв. 73",+375222910903,71.3,,,,64.7,,66.0,66.1,65.6,66.2
Егорова Елена Алексеевна,Ж,2025,очно-заочная,Информатика и вычислительная техника,"Екатеринбург, ул. Новая, д. 47, кв. 105",+375248784734,75.7,,,65.6,59.6,,56.4,,60.53333333333333,65.0
Кузнецов Егор Алексеевич,М,2025,очно-заочная,Биология,"Новосибирск, ул. Ленина, д. 75, кв. 68",+375242445809,97.4,,64.8,,,,58.2,72.0,65.0,76.5
Кузьмина Ирина Денисовна,Ж,2025,очная,Биология,"Екатеринбург, ул. Пролетарская, д. 116, кв. 64",+375505172955,71.0,72.8,49.4,55.5,,,,,59.23333333333333,61.8
Соколова Екатерина Сергеевна,Ж,2025,очная,Информатика и вычислительная техника,"Нижний Новгород, ул. Пролетарская, д. 176, кв. 166",+375341997969,78.9,,,,,64.3,61.0,87.4,70.89999999999999,71.7
Фёдорова Ирина Владимировна,Ж,2025,очная,История,"Краснодар, ул. Советская, д. 3, кв. 121",+375560460182,92.5,64.5,,,,,68.4,65.0,65.96666666666667,76.9
Лебедев Андрей Иванович,М,2025,очная,Химия,"Новосибирск, ул. Школьная, д. 178, кв. 102",+375568431241,73.8,,,58.3,68.0,,,68.5,64.93333333333334,67.3
Смирнов Дмитрий Владимирович,М,2025,заочная,Информатика и вычислительная техника,"Екатеринбург, ул. Новая, д. 182, кв. 109",+375303629755,62.2,,,,,75.0,62.1,56.3,64.46666666666665,62.6
Соколов Максим Сергеевич,М,2025,очная,Прикладная математика,"Самара, ул. Центральная, д. 19, кв. 25",+375042907669,63.3,47.0,67.2,,,68.0,,,60.73333333333333,62.4
Кузнецов Андрей Иванович,М,2025,очная,Экономика,"Пермь, ул. Ленина, д. 14, кв. 86",+375993582834,73.8,59.7,,72.1,,,81.9,,71.23333333333333,73.5
Попов Никита Денисович,М,2025,очная,Физика,"Екатеринбург, ул. Зелёная, д. 91, кв. 156",+375659777295,68.0,81.1,53.0,,,74.5,,,69.53333333333333,69.5
Фёдорова Светлана Никитична,Ж,2025,очная,Химия,"Самара, ул. Ленина, д. 2, кв. 65",+375689934705,84.8,51.9,,,,81.8,,67.7,67.13333333333333,72.3
Козлов Роман Никитич,М,2025,очная,Прикладная математика,"Пермь, ул. Пролетарская, д. 98, кв. 78",+375344171340,80.2,,49.9,,,78.7,80.3,,69.63333333333333,74.8
